"","cytokine","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"28","IL-5",0.135840011306511,-0.194856564884323,-0.117805824282112,0.00704749637610966,-0.213770944578304,0.00311936624208143,0.000576096778509649,0.0273703584556214,0.0639613665903585,-0.000397978256763415,0.00447854453467255,0.00966435538721461,-0.0040658731267102,0.0560180063185543,-0.091318803034216,-0.119893129916903,0.0812982930051496,0.0785940989192047,0.0657856416532859,0.00468325111036219,0.00320311146531162,-0.0906561761558798,-0.0138078716120541,-0.0573396275893346,-0.0630318200024713,-0.0524980901086145,0.149867113192227,-0.0188061022055908,0.0308179615424184,-0.108920791416272,-0.103967571246957,0.0577974119989522
"29","IL-6",0.214532494866703,-0.0210849430714259,-0.0342633251206332,-0.0173243371723304,0.0216449373743935,0.0142420165444264,-0.0263787731558149,0.0205612334155241,0.0223623073011292,0.0587686802226499,-0.0823549824481469,0.110256709071373,-0.0775529465380519,0.0330094477510894,0.0255928643832192,0.00255148083396852,0.00513208043422239,-0.161112123228321,0.0046035066417701,-0.0327143418611708,0.0242052262612412,-0.273842375808607,0.017408308957998,0.0873595486801769,-0.196233516351486,0.143546435947712,-0.107041003431128,0.104908779109656,0.0941132075161631,-0.0314168663291811,0.0315151906794444,0.0705033775060157
"30","IL-7",-0.0493360164611384,0.0130581769037981,0.0081764704248488,0.133488760699117,-0.0129370817617619,-0.300144611434992,-0.396297664182636,-0.0722098762216149,-0.157678240457575,0.123532447004087,0.0992176031270144,0.172333076718038,0.0312263762616511,-0.00988806403846661,-0.0673326840605774,0.00325725705726915,0.0120766113766762,0.0165851117932563,0.00062066754307214,0.0246208984480151,0.0744410341313428,0.000433267509718732,-0.0234046062029076,-0.0150850356153739,0.0805252856965282,0.0907111333774228,0.113248396546032,-0.0427505129358719,-0.155028994472376,-0.086642465010679,0.0184895003256414,-0.0527915024086406
"31","IL-8",0.212639927266276,-0.013816424069416,-0.0701003252248138,-0.00820645533053466,-0.0547716944461781,0.0664430656575492,-0.0602930479846126,-0.00989507959284619,-0.0265502406762277,-0.0143308241784236,-0.00580042546165175,-0.053453799324321,0.0351016630467779,-0.0391078177023237,0.0307122613023959,-0.0742488102464748,-0.0422297405843079,0.0225982290154875,-0.0662451706289982,0.0112760033547552,0.0136109060940549,0.00135913161495274,-0.107801818934144,0.157683979116062,0.0798318093214458,0.206506578797295,0.01659044236563,-0.189150807602315,0.0271240513604101,0.0635770211771051,0.0372288006544627,0.0376866520277545
"32","IP-10",0.120658685498089,-0.194060928477276,-0.23379894043496,-0.0314133622301341,0.0424785625153749,-0.0629216503597269,-0.0114633391654593,0.0243988856417234,0.0394160769348771,0.0591809137622155,0.0174074304408981,0.0223565876657275,-0.00388730631671254,0.0512741837634557,-0.0265503344792953,-0.0472108655750696,-0.0549656644161838,0.0132178490473072,-0.013977272254082,-0.114241847974033,0.084010845323379,0.228486639579537,0.0376649157943029,0.0555013061400085,0.213084710615592,0.0313533450432047,-0.0146486221418234,0.0973967345398957,0.0187983502853946,-0.0877631691711851,0.10318216093357,-0.0557887770507813
"33","MCP-1",0.00362751638766277,0.0256979208694478,-0.137050800092564,0.281014073432484,-0.0514928367421047,0.0626494729859861,-0.0181349580062006,-0.221939993642489,-0.044388721144919,-0.22825736584132,0.0282170255710467,-0.316883223355559,-0.146906382821073,0.00983154745245075,-0.00703934569892732,0.0133315402356551,0.0880790183138843,-0.0844036435130806,-0.257550261299329,-0.067066302211525,0.188975685297393,-0.163487476477176,-0.109205396734113,-0.37428131641042,0.0106255648275936,0.105108737890553,-0.24373107780099,-0.13083488759366,-0.158241643498935,0.0312109497015004,-0.150771324838281,-0.0201575119921975
"34","MIP-1a",0.187924112360462,-0.141875609193204,0.07764342618915,0.0173307293487922,0.0794334472067634,0.0116140078671011,0.0508509634785769,-0.0812811246940577,0.0376774398806416,-0.0710005230261175,-0.053197981862989,-0.0488942487549814,0.134071594837441,-0.0653919876299043,0.0981698281941134,-0.014223082467753,-0.0378920800126438,-0.102652280139507,-0.0493923484099573,-0.0202961927350018,0.0319866276483674,-0.0365943375740669,-0.104268674853485,-0.0117430641309461,-0.0282307974779889,-0.097797903846728,-0.102414771865169,-0.0479494419394914,0.241865814447055,0.0489017057656934,0.158862528860147,-0.0676651230751602
"35","MIP-1B",0.00220584574599064,0.0313338686837715,-0.0819877374155162,0.318772758662427,0.118527870586448,0.0367639706019512,0.0985738671074007,-0.0986228882555894,0.0538461834686438,-0.03747296396403,0.0794981203163974,0.119499928149338,0.0494111882612553,0.218426497813262,0.257233002291747,0.0761559157965863,0.0412789316536739,0.13708100539433,-0.262404572535368,0.0168002881377888,0.289005107992937,-0.151588397099573,0.131555616331308,0.41209317149174,0.0709880835343394,-0.156017760295417,0.238218923087777,-0.0653951584054487,0.264910535944977,-0.148012743019012,-0.162402745314126,-0.0351586074660648
"36","RANTES",0.104373907128348,-0.192908676023544,0.0841023942775727,0.0389021111179767,-0.0086897010588162,0.0235386272308952,0.125161791545049,0.00122495450621158,-0.107541803053198,-0.249568680593991,0.217674522546561,-0.0245425380614228,0.0197888296227777,0.254629541671073,0.215266858234208,0.478381096991628,0.281649109860843,0.101147565623323,0.0311058821925043,0.00355523399302559,0.140266744125174,0.23071471808932,0.128749908394374,-0.12659248552208,0.0473328639212238,0.107710532963362,-0.00680264572244705,0.0222164380994351,-0.100054972835835,0.0174713179778809,0.0100517473619792,0.00455930541133222
"37","TNFa",0.102534877915013,-0.1733928605043,-0.190040536397563,0.101508150025678,0.0325203953125996,0.00490541075810596,0.101527213108511,-0.0986172073773529,-0.00705187128868024,-0.0576732644257163,0.248541937850987,-0.10724560613899,-0.133513946077733,-0.101870775898514,-0.0263435791402931,0.122169209938646,-0.328676306408526,-0.0686503632542294,0.0020541608036088,-0.0914610732600089,-0.276276894182137,-0.0732183358335953,0.161033455421103,0.0594282937995443,-0.389157084935972,0.186102280701864,0.0422991173450728,0.118351427168951,0.105201963199954,0.0825552299700965,-0.153908730530877,0.00563836994325396
