"","MS1","MS2","MS3","MS4","MS5","MS6","MS7","MS12","MS13","MS14","Epi1","Epi2","Epi3","SNAE4","SNAE5","SNAE13","SNAE14","NEpi1","NEpi2","NEpi3","NEpi4","NEpi5","AE3Ctl3","AE4Ctl4","Ctl12","Ctl7","Ctl8","Ctl2","Ctl3","Ctl4","Ctl5","Ctl6"
"MAP2_hblOligo195982",0,0,2.30535136944662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAP2_hblOligo252300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60205999132796,0,0,0,0
"MAP2_hblOligo71324",0,0,2.03342375548695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAP2_hblOligo71334",0,0,2.12057393120585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAPK9_hblOligo196399",0,0,0,0,0,0,0,0,2.41995574848976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAPK9_hblOligo71765",0,0,0,0,0,0,0,0,2.19865708695442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEXN_hblOligo203850",0,0,0,0,0,0,0,0,0,0,0,0,2.66181268553726,0,0,0,0,0,2.30319605742049,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEXN_hblOligo79750",0,0,0,0,0,0,0,0,0,0,0,0,1.92941892571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NF2_hblOligo79791",0,1.38021124171161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NKTR_hblOligo204458",0,0,0,0,0,0,0,0,0,0,2.14301480025409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P3H3_hblOligo184446",0,0,0,0,0,0,0,0,0,1.7481880270062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARD3_hblOligo209380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03742649794062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PARD3_hblOligo85814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04921802267018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCDHGC5_hblOligo86891",0,0,1.20411998265592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPP1R9A_hblOligo215621",0,0,0,0,0,0,0,0,1.32221929473392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RASAL2_hblOligo219408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64640372622307,0,0,0
"RASAL2_hblOligo96635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00860017176192,0,0,0
"SLC9A1_hblOligo106789",0,0,1.43136376415899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPTBN2_hblOligo231264",0,0,0,0,1.73239375982297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVIL_hblOligo111566",0,0,0,0,0,0,0,2.72509452108147,0,0,0,0,0,0,0,0,0,0,2.56702636615906,2.62940959910272,0,0,0,0,0,0,0,0,0,0,0,2.99431715266964
"SVIL_hblOligo233171",0,0,2.22010808804005,0,0,0,0,2.38916608436453,0,0,0,0,0,0,0,0,0,0,2.20411998265593,2.39967372148104,0,0,0,0,0,0,0,0,0,0,0,2.74036268949424
"SYNPO_hblOligo111994",0,0,0,0,2.72509452108147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPRN_hblOligo238715",0,2.11727129565576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WASF2_hblOligo244570",0,0,0,0,0,0,0,0,2.22788670461367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZSWIM8_hblOligo181033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56820172406699,0,0,0,0,0,0,0,0,0,0,0
"ZSWIM8_hblOligo53896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96848294855394,0,0,0,0,0,0,0,0,0,0,0
